id,name,destination,price,duration,description,avg_rating,review_count,source,source_url,season,image_url,created_at,updated_at,duration_label,original_price,highlights,places,topics,gallery,itinerary,included,excluded,schedule,transport
58,Tour TP. Hồ Chí Minh 4N3Đ: Trọn Gói City,TP. Hồ Chí Minh,5490000,4,"Hành trình TP. Hồ Chí Minh 4 ngày dành cho du khách yêu thích city, shopping, nightlife.",7.7,45,traveloka,https://synthetic.example.com/tours/58,all,https://picsum.photos/seed/tour-58/900/600,2025-11-02 08:00:00,2025-11-13 08:00:00,4N3Đ,6093014,"[""Trải nghiệm city"", ""Trải nghiệm shopping"", ""Trải nghiệm nightlife""]","[""TP. Hồ Chí Minh""]","[""city"", ""shopping"", ""nightlife"", ""food""]","[""https://picsum.photos/seed/tour-58-1/900/600"", ""https://picsum.photos/seed/tour-58-2/900/600"", ""https://picsum.photos/seed/tour-58-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại TP. Hồ Chí Minh""}, {""day"": 2, ""title"": ""Ngày 2 tại TP. Hồ Chí Minh""}, {""day"": 3, ""title"": ""Ngày 3 tại TP. Hồ Chí Minh""}, {""day"": 4, ""title"": ""Ngày 4 tại TP. Hồ Chí Minh""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
59,Tour Huế 4N3Đ: Gia Đình History,Huế,6780000,4,"Hành trình Huế 4 ngày dành cho du khách yêu thích history, city, food.",8.2,72,klook,https://synthetic.example.com/tours/59,spring,https://picsum.photos/seed/tour-59/900/600,2025-04-27 08:00:00,2025-05-15 08:00:00,4N3Đ,7653045,"[""Trải nghiệm history"", ""Trải nghiệm city"", ""Trải nghiệm food""]","[""Huế""]","[""history"", ""city"", ""food"", ""culture""]","[""https://picsum.photos/seed/tour-59-1/900/600"", ""https://picsum.photos/seed/tour-59-2/900/600"", ""https://picsum.photos/seed/tour-59-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Huế""}, {""day"": 2, ""title"": ""Ngày 2 tại Huế""}, {""day"": 3, ""title"": ""Ngày 3 tại Huế""}, {""day"": 4, ""title"": ""Ngày 4 tại Huế""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""cruise""}"
60,Tour Hà Nội 4N3Đ: Gia Đình Culture,Hà Nội,2850000,4,"Hành trình Hà Nội 4 ngày dành cho du khách yêu thích culture, shopping, food.",8.8,84,traveloka,https://synthetic.example.com/tours/60,autumn,https://picsum.photos/seed/tour-60/900/600,2025-04-21 08:00:00,2025-04-22 08:00:00,4N3Đ,3085654,"[""Trải nghiệm culture"", ""Trải nghiệm shopping"", ""Trải nghiệm food""]","[""Hà Nội""]","[""culture"", ""shopping"", ""food"", ""city""]","[""https://picsum.photos/seed/tour-60-1/900/600"", ""https://picsum.photos/seed/tour-60-2/900/600"", ""https://picsum.photos/seed/tour-60-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Hà Nội""}, {""day"": 2, ""title"": ""Ngày 2 tại Hà Nội""}, {""day"": 3, ""title"": ""Ngày 3 tại Hà Nội""}, {""day"": 4, ""title"": ""Ngày 4 tại Hà Nội""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""bus""}"
61,Tour Sa Pa 2N1Đ: Gia Đình Culture,Sa Pa,3850000,2,"Hành trình Sa Pa 2 ngày dành cho du khách yêu thích culture, nature, mountain.",7.4,61,bestprice,https://synthetic.example.com/tours/61,winter,https://picsum.photos/seed/tour-61/900/600,2025-01-22 08:00:00,2025-01-26 08:00:00,2N1Đ,4471780,"[""Trải nghiệm culture"", ""Trải nghiệm nature"", ""Trải nghiệm mountain""]","[""Sa Pa""]","[""culture"", ""nature"", ""mountain"", ""photography""]","[""https://picsum.photos/seed/tour-61-1/900/600"", ""https://picsum.photos/seed/tour-61-2/900/600"", ""https://picsum.photos/seed/tour-61-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Sa Pa""}, {""day"": 2, ""title"": ""Ngày 2 tại Sa Pa""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
62,Tour Phú Quốc 4N3Đ: Tiết Kiệm Romantic,Phú Quốc,15980000,4,"Hành trình Phú Quốc 4 ngày dành cho du khách yêu thích romantic, beach, family.",7.5,22,traveloka,https://synthetic.example.com/tours/62,summer,https://picsum.photos/seed/tour-62/900/600,2025-09-27 08:00:00,2025-09-30 08:00:00,4N3Đ,18976321,"[""Trải nghiệm romantic"", ""Trải nghiệm beach"", ""Trải nghiệm family""]","[""Phú Quốc""]","[""romantic"", ""beach"", ""family"", ""luxury""]","[""https://picsum.photos/seed/tour-62-1/900/600"", ""https://picsum.photos/seed/tour-62-2/900/600"", ""https://picsum.photos/seed/tour-62-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Phú Quốc""}, {""day"": 2, ""title"": ""Ngày 2 tại Phú Quốc""}, {""day"": 3, ""title"": ""Ngày 3 tại Phú Quốc""}, {""day"": 4, ""title"": ""Ngày 4 tại Phú Quốc""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""car""}"
63,Tour Phú Quốc 4N3Đ: Trọn Gói Water Sports,Phú Quốc,5390000,4,"Hành trình Phú Quốc 4 ngày dành cho du khách yêu thích water_sports, relax, beach.",7.4,85,traveloka,https://synthetic.example.com/tours/63,summer,https://picsum.photos/seed/tour-63/900/600,2025-04-08 08:00:00,2025-05-04 08:00:00,4N3Đ,6197707,"[""Trải nghiệm water_sports"", ""Trải nghiệm relax"", ""Trải nghiệm beach""]","[""Phú Quốc""]","[""water_sports"", ""relax"", ""beach"", ""family""]","[""https://picsum.photos/seed/tour-63-1/900/600"", ""https://picsum.photos/seed/tour-63-2/900/600"", ""https://picsum.photos/seed/tour-63-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Phú Quốc""}, {""day"": 2, ""title"": ""Ngày 2 tại Phú Quốc""}, {""day"": 3, ""title"": ""Ngày 3 tại Phú Quốc""}, {""day"": 4, ""title"": ""Ngày 4 tại Phú Quốc""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""bus""}"
64,Tour Đà Lạt 3N2Đ: Cao Cấp Nature,Đà Lạt,3540000,3,"Hành trình Đà Lạt 3 ngày dành cho du khách yêu thích nature, romantic, mountain.",9.1,12,bestprice,https://synthetic.example.com/tours/64,winter,https://picsum.photos/seed/tour-64/900/600,2026-03-30 08:00:00,2026-04-03 08:00:00,3N2Đ,4359560,"[""Trải nghiệm nature"", ""Trải nghiệm romantic"", ""Trải nghiệm mountain""]","[""Đà Lạt""]","[""nature"", ""romantic"", ""mountain"", ""photography""]","[""https://picsum.photos/seed/tour-64-1/900/600"", ""https://picsum.photos/seed/tour-64-2/900/600"", ""https://picsum.photos/seed/tour-64-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Đà Lạt""}, {""day"": 2, ""title"": ""Ngày 2 tại Đà Lạt""}, {""day"": 3, ""title"": ""Ngày 3 tại Đà Lạt""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
65,Tour Sa Pa 4N3Đ: Gia Đình Culture,Sa Pa,5980000,4,"Hành trình Sa Pa 4 ngày dành cho du khách yêu thích culture, nature, photography.",8.1,6,traveloka,https://synthetic.example.com/tours/65,winter,https://picsum.photos/seed/tour-65/900/600,2026-08-10 08:00:00,2026-08-14 08:00:00,4N3Đ,6182061,"[""Trải nghiệm culture"", ""Trải nghiệm nature"", ""Trải nghiệm photography""]","[""Sa Pa""]","[""culture"", ""nature"", ""photography"", ""adventure""]","[""https://picsum.photos/seed/tour-65-1/900/600"", ""https://picsum.photos/seed/tour-65-2/900/600"", ""https://picsum.photos/seed/tour-65-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Sa Pa""}, {""day"": 2, ""title"": ""Ngày 2 tại Sa Pa""}, {""day"": 3, ""title"": ""Ngày 3 tại Sa Pa""}, {""day"": 4, ""title"": ""Ngày 4 tại Sa Pa""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""car""}"
66,Tour Nha Trang 5N4Đ: Check-in Water Sports,Nha Trang,7950000,5,"Hành trình Nha Trang 5 ngày dành cho du khách yêu thích water_sports, food, family.",8.3,83,traveloka,https://synthetic.example.com/tours/66,summer,https://picsum.photos/seed/tour-66/900/600,2026-02-16 08:00:00,2026-03-12 08:00:00,5N4Đ,9400207,"[""Trải nghiệm water_sports"", ""Trải nghiệm food"", ""Trải nghiệm family""]","[""Nha Trang""]","[""water_sports"", ""food"", ""family"", ""nightlife""]","[""https://picsum.photos/seed/tour-66-1/900/600"", ""https://picsum.photos/seed/tour-66-2/900/600"", ""https://picsum.photos/seed/tour-66-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Nha Trang""}, {""day"": 2, ""title"": ""Ngày 2 tại Nha Trang""}, {""day"": 3, ""title"": ""Ngày 3 tại Nha Trang""}, {""day"": 4, ""title"": ""Ngày 4 tại Nha Trang""}, {""day"": 5, ""title"": ""Ngày 5 tại Nha Trang""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""cruise""}"
67,Tour Huế 3N2Đ: Cao Cấp Food,Huế,3730000,3,"Hành trình Huế 3 ngày dành cho du khách yêu thích food, city, culture.",9.5,8,klook,https://synthetic.example.com/tours/67,spring,https://picsum.photos/seed/tour-67/900/600,2026-02-11 08:00:00,2026-03-01 08:00:00,3N2Đ,4634748,"[""Trải nghiệm food"", ""Trải nghiệm city"", ""Trải nghiệm culture""]","[""Huế""]","[""food"", ""city"", ""culture"", ""history""]","[""https://picsum.photos/seed/tour-67-1/900/600"", ""https://picsum.photos/seed/tour-67-2/900/600"", ""https://picsum.photos/seed/tour-67-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Huế""}, {""day"": 2, ""title"": ""Ngày 2 tại Huế""}, {""day"": 3, ""title"": ""Ngày 3 tại Huế""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""car""}"
68,Tour Nha Trang 3N2Đ: Khám Phá Beach,Nha Trang,6910000,3,"Hành trình Nha Trang 3 ngày dành cho du khách yêu thích beach, nightlife, food.",9.3,96,klook,https://synthetic.example.com/tours/68,summer,https://picsum.photos/seed/tour-68/900/600,2025-06-30 08:00:00,2025-07-10 08:00:00,3N2Đ,7148230,"[""Trải nghiệm beach"", ""Trải nghiệm nightlife"", ""Trải nghiệm food""]","[""Nha Trang""]","[""beach"", ""nightlife"", ""food"", ""water_sports""]","[""https://picsum.photos/seed/tour-68-1/900/600"", ""https://picsum.photos/seed/tour-68-2/900/600"", ""https://picsum.photos/seed/tour-68-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Nha Trang""}, {""day"": 2, ""title"": ""Ngày 2 tại Nha Trang""}, {""day"": 3, ""title"": ""Ngày 3 tại Nha Trang""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""car""}"
69,Tour Hội An 2N1Đ: Trọn Gói Food,Hội An,5280000,2,"Hành trình Hội An 2 ngày dành cho du khách yêu thích food, culture, history.",8.1,71,bestprice,https://synthetic.example.com/tours/69,autumn,https://picsum.photos/seed/tour-69/900/600,2025-02-05 08:00:00,2025-02-17 08:00:00,2N1Đ,5988039,"[""Trải nghiệm food"", ""Trải nghiệm culture"", ""Trải nghiệm history""]","[""Hội An""]","[""food"", ""culture"", ""history"", ""photography""]","[""https://picsum.photos/seed/tour-69-1/900/600"", ""https://picsum.photos/seed/tour-69-2/900/600"", ""https://picsum.photos/seed/tour-69-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Hội An""}, {""day"": 2, ""title"": ""Ngày 2 tại Hội An""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
70,Tour TP. Hồ Chí Minh 4N3Đ: Khám Phá Food,TP. Hồ Chí Minh,7280000,4,"Hành trình TP. Hồ Chí Minh 4 ngày dành cho du khách yêu thích food, nightlife, shopping.",8.7,47,bestprice,https://synthetic.example.com/tours/70,all,https://picsum.photos/seed/tour-70/900/600,2024-08-30 08:00:00,2024-09-10 08:00:00,4N3Đ,8578561,"[""Trải nghiệm food"", ""Trải nghiệm nightlife"", ""Trải nghiệm shopping""]","[""TP. Hồ Chí Minh""]","[""food"", ""nightlife"", ""shopping"", ""history""]","[""https://picsum.photos/seed/tour-70-1/900/600"", ""https://picsum.photos/seed/tour-70-2/900/600"", ""https://picsum.photos/seed/tour-70-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại TP. Hồ Chí Minh""}, {""day"": 2, ""title"": ""Ngày 2 tại TP. Hồ Chí Minh""}, {""day"": 3, ""title"": ""Ngày 3 tại TP. Hồ Chí Minh""}, {""day"": 4, ""title"": ""Ngày 4 tại TP. Hồ Chí Minh""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""car""}"
71,Tour TP. Hồ Chí Minh 3N2Đ: Tiết Kiệm Shopping,TP. Hồ Chí Minh,8030000,3,"Hành trình TP. Hồ Chí Minh 3 ngày dành cho du khách yêu thích shopping, food, history.",9.5,81,bestprice,https://synthetic.example.com/tours/71,all,https://picsum.photos/seed/tour-71/900/600,2025-07-15 08:00:00,2025-07-29 08:00:00,3N2Đ,9598670,"[""Trải nghiệm shopping"", ""Trải nghiệm food"", ""Trải nghiệm history""]","[""TP. Hồ Chí Minh""]","[""shopping"", ""food"", ""history"", ""nightlife""]","[""https://picsum.photos/seed/tour-71-1/900/600"", ""https://picsum.photos/seed/tour-71-2/900/600"", ""https://picsum.photos/seed/tour-71-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại TP. Hồ Chí Minh""}, {""day"": 2, ""title"": ""Ngày 2 tại TP. Hồ Chí Minh""}, {""day"": 3, ""title"": ""Ngày 3 tại TP. Hồ Chí Minh""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""bus""}"
72,Tour Đà Lạt 3N2Đ: Cao Cấp Romantic,Đà Lạt,6980000,3,"Hành trình Đà Lạt 3 ngày dành cho du khách yêu thích romantic, nature, relax.",8.9,58,traveloka,https://synthetic.example.com/tours/72,winter,https://picsum.photos/seed/tour-72/900/600,2026-04-28 08:00:00,2026-04-28 08:00:00,3N2Đ,7500666,"[""Trải nghiệm romantic"", ""Trải nghiệm nature"", ""Trải nghiệm relax""]","[""Đà Lạt""]","[""romantic"", ""nature"", ""relax"", ""photography""]","[""https://picsum.photos/seed/tour-72-1/900/600"", ""https://picsum.photos/seed/tour-72-2/900/600"", ""https://picsum.photos/seed/tour-72-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Đà Lạt""}, {""day"": 2, ""title"": ""Ngày 2 tại Đà Lạt""}, {""day"": 3, ""title"": ""Ngày 3 tại Đà Lạt""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""bus""}"
73,Tour Đà Lạt 3N2Đ: Ẩm Thực Photography,Đà Lạt,7600000,3,"Hành trình Đà Lạt 3 ngày dành cho du khách yêu thích photography, nature, mountain.",8.4,56,klook,https://synthetic.example.com/tours/73,winter,https://picsum.photos/seed/tour-73/900/600,2025-03-25 08:00:00,2025-04-21 08:00:00,3N2Đ,9398805,"[""Trải nghiệm photography"", ""Trải nghiệm nature"", ""Trải nghiệm mountain""]","[""Đà Lạt""]","[""photography"", ""nature"", ""mountain"", ""relax""]","[""https://picsum.photos/seed/tour-73-1/900/600"", ""https://picsum.photos/seed/tour-73-2/900/600"", ""https://picsum.photos/seed/tour-73-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Đà Lạt""}, {""day"": 2, ""title"": ""Ngày 2 tại Đà Lạt""}, {""day"": 3, ""title"": ""Ngày 3 tại Đà Lạt""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""bus""}"
74,Tour Nha Trang 5N4Đ: Gia Đình Beach,Nha Trang,3870000,5,"Hành trình Nha Trang 5 ngày dành cho du khách yêu thích beach, family, water_sports.",7.7,59,klook,https://synthetic.example.com/tours/74,summer,https://picsum.photos/seed/tour-74/900/600,2024-09-18 08:00:00,2024-09-20 08:00:00,5N4Đ,4112725,"[""Trải nghiệm beach"", ""Trải nghiệm family"", ""Trải nghiệm water_sports""]","[""Nha Trang""]","[""beach"", ""family"", ""water_sports"", ""food""]","[""https://picsum.photos/seed/tour-74-1/900/600"", ""https://picsum.photos/seed/tour-74-2/900/600"", ""https://picsum.photos/seed/tour-74-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Nha Trang""}, {""day"": 2, ""title"": ""Ngày 2 tại Nha Trang""}, {""day"": 3, ""title"": ""Ngày 3 tại Nha Trang""}, {""day"": 4, ""title"": ""Ngày 4 tại Nha Trang""}, {""day"": 5, ""title"": ""Ngày 5 tại Nha Trang""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""car""}"
75,Tour Phú Quốc 3N2Đ: Nghỉ Dưỡng Relax,Phú Quốc,14320000,3,"Hành trình Phú Quốc 3 ngày dành cho du khách yêu thích relax, luxury, family.",8.5,11,bestprice,https://synthetic.example.com/tours/75,summer,https://picsum.photos/seed/tour-75/900/600,2025-06-15 08:00:00,2025-07-01 08:00:00,3N2Đ,15134923,"[""Trải nghiệm relax"", ""Trải nghiệm luxury"", ""Trải nghiệm family""]","[""Phú Quốc""]","[""relax"", ""luxury"", ""family"", ""romantic""]","[""https://picsum.photos/seed/tour-75-1/900/600"", ""https://picsum.photos/seed/tour-75-2/900/600"", ""https://picsum.photos/seed/tour-75-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Phú Quốc""}, {""day"": 2, ""title"": ""Ngày 2 tại Phú Quốc""}, {""day"": 3, ""title"": ""Ngày 3 tại Phú Quốc""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
76,Tour Đà Lạt 5N4Đ: Trọn Gói Food,Đà Lạt,4280000,5,"Hành trình Đà Lạt 5 ngày dành cho du khách yêu thích food, mountain, romantic.",8.3,39,klook,https://synthetic.example.com/tours/76,winter,https://picsum.photos/seed/tour-76/900/600,2025-02-16 08:00:00,2025-02-24 08:00:00,5N4Đ,5015534,"[""Trải nghiệm food"", ""Trải nghiệm mountain"", ""Trải nghiệm romantic""]","[""Đà Lạt""]","[""food"", ""mountain"", ""romantic"", ""relax""]","[""https://picsum.photos/seed/tour-76-1/900/600"", ""https://picsum.photos/seed/tour-76-2/900/600"", ""https://picsum.photos/seed/tour-76-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Đà Lạt""}, {""day"": 2, ""title"": ""Ngày 2 tại Đà Lạt""}, {""day"": 3, ""title"": ""Ngày 3 tại Đà Lạt""}, {""day"": 4, ""title"": ""Ngày 4 tại Đà Lạt""}, {""day"": 5, ""title"": ""Ngày 5 tại Đà Lạt""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
77,Tour Sa Pa 3N2Đ: Cao Cấp Adventure,Sa Pa,7160000,3,"Hành trình Sa Pa 3 ngày dành cho du khách yêu thích adventure, photography, nature.",8.3,95,bestprice,https://synthetic.example.com/tours/77,winter,https://picsum.photos/seed/tour-77/900/600,2025-03-27 08:00:00,2025-04-04 08:00:00,3N2Đ,7623069,"[""Trải nghiệm adventure"", ""Trải nghiệm photography"", ""Trải nghiệm nature""]","[""Sa Pa""]","[""adventure"", ""photography"", ""nature"", ""mountain""]","[""https://picsum.photos/seed/tour-77-1/900/600"", ""https://picsum.photos/seed/tour-77-2/900/600"", ""https://picsum.photos/seed/tour-77-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Sa Pa""}, {""day"": 2, ""title"": ""Ngày 2 tại Sa Pa""}, {""day"": 3, ""title"": ""Ngày 3 tại Sa Pa""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
78,Tour Hà Nội 4N3Đ: Khám Phá Food,Hà Nội,6430000,4,"Hành trình Hà Nội 4 ngày dành cho du khách yêu thích food, city, shopping.",9.1,48,bestprice,https://synthetic.example.com/tours/78,autumn,https://picsum.photos/seed/tour-78/900/600,2025-08-13 08:00:00,2025-08-28 08:00:00,4N3Đ,7388944,"[""Trải nghiệm food"", ""Trải nghiệm city"", ""Trải nghiệm shopping""]","[""Hà Nội""]","[""food"", ""city"", ""shopping"", ""culture""]","[""https://picsum.photos/seed/tour-78-1/900/600"", ""https://picsum.photos/seed/tour-78-2/900/600"", ""https://picsum.photos/seed/tour-78-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Hà Nội""}, {""day"": 2, ""title"": ""Ngày 2 tại Hà Nội""}, {""day"": 3, ""title"": ""Ngày 3 tại Hà Nội""}, {""day"": 4, ""title"": ""Ngày 4 tại Hà Nội""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
79,Tour Côn Đảo 3N2Đ: Ẩm Thực Spiritual,Côn Đảo,5640000,3,"Hành trình Côn Đảo 3 ngày dành cho du khách yêu thích spiritual, relax, history.",9.6,35,traveloka,https://synthetic.example.com/tours/79,summer,https://picsum.photos/seed/tour-79/900/600,2024-09-01 08:00:00,2024-09-27 08:00:00,3N2Đ,5734642,"[""Trải nghiệm spiritual"", ""Trải nghiệm relax"", ""Trải nghiệm history""]","[""Côn Đảo""]","[""spiritual"", ""relax"", ""history"", ""nature""]","[""https://picsum.photos/seed/tour-79-1/900/600"", ""https://picsum.photos/seed/tour-79-2/900/600"", ""https://picsum.photos/seed/tour-79-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Côn Đảo""}, {""day"": 2, ""title"": ""Ngày 2 tại Côn Đảo""}, {""day"": 3, ""title"": ""Ngày 3 tại Côn Đảo""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""cruise""}"
80,Tour Hà Nội 2N1Đ: Cao Cấp History,Hà Nội,4630000,2,"Hành trình Hà Nội 2 ngày dành cho du khách yêu thích history, food, shopping.",9.6,104,traveloka,https://synthetic.example.com/tours/80,autumn,https://picsum.photos/seed/tour-80/900/600,2024-12-14 08:00:00,2024-12-25 08:00:00,2N1Đ,5181222,"[""Trải nghiệm history"", ""Trải nghiệm food"", ""Trải nghiệm shopping""]","[""Hà Nội""]","[""history"", ""food"", ""shopping"", ""city""]","[""https://picsum.photos/seed/tour-80-1/900/600"", ""https://picsum.photos/seed/tour-80-2/900/600"", ""https://picsum.photos/seed/tour-80-3/900/600""]","[{""day"": 1, ""title"": ""Ngày 1 tại Hà Nội""}, {""day"": 2, ""title"": ""Ngày 2 tại Hà Nội""}]","[""Xe đưa đón"", ""Hướng dẫn viên"", ""Vé tham quan""]","[""Chi phí cá nhân"", ""VAT""]","[{""month"": 3, ""available"": true}, {""month"": 6, ""available"": true}, {""month"": 9, ""available"": true}, {""month"": 12, ""available"": true}]","{""type"": ""flight""}"
